scope,segment_id,file,variable,count,min,max,mean,median,std,q25,q75,iqr,unit
per_segment,segment_3,,MAG_LAT,2156,-66.774,71.134,2.122,2.089,39.844,-32.383,36.614,,deg
per_segment,segment_3,,MAG_LON,2156,-96.427,-93.823,-95.105,-95.055,0.932,-96.059,-94.175,,deg
per_segment,segment_4,,Bx,2063,-3793.076,3340.314,618.946,1403.354,2274.123,-1424.541,2727.391,4151.932,nT
per_segment,segment_4,,By,2063,-26172.093,41120.448,329.654,-10652.426,22455.298,-18969.453,22589.149,41558.602,nT
per_segment,segment_4,,Bz,2063,9025.764,25661.958,16428.211,15126.723,5810.477,11058.029,22232.502,11174.472,nT
per_segment,segment_4,,B_abs,2063,20836.926,42377.587,27773.748,24949.345,6493.881,22801.972,32250.235,9448.263,nT
per_segment,segment_4,,GEO_LAT,2063,-64.174,64.282,-0.005,-0.037,37.25,-32.339,32.315,,deg
per_segment,segment_4,,GEO_LON,2063,-20.877,19.642,-0.581,-0.574,9.554,-7.545,6.392,,deg
per_segment,segment_4,,ALTITUDE,2063,501.239,518.855,512.271,513.682,5.713,507.262,517.71,,km
per_segment,segment_4,,MAG_LAT,2063,-63.171,68.666,2.686,2.654,38.082,-30.287,35.646,,deg
per_segment,segment_4,,MAG_LON,2063,71.292,74.845,73.13,73.184,1.282,71.832,74.457,,deg
per_segment,segment_5,,Bx,2060,-2621.631,2238.454,-546.223,-1008.896,1764.674,-2249.888,1238.055,3487.943,nT
per_segment,segment_5,,By,2060,-51158.087,42579.413,-6713.109,-5712.324,31099.449,-37666.624,22047.734,59714.358,nT
per_segment,segment_5,,Bz,2060,-27448.404,-1251.549,-19740.309,-21335.225,6699.679,-25407.584,-15617.476,9790.108,nT
per_segment,segment_5,,B_abs,2060,26599.913,51241.468,37220.086,36438.72,8055.103,29528.328,43601.958,14073.631,nT
per_segment,segment_5,,GEO_LAT,2060,-64.254,64.123,-0.128,-0.161,37.23,-32.447,32.176,,deg
per_segment,segment_5,,GEO_LON,2060,-179.983,179.993,127.193,164.636,108.217,156.342,171.198,,deg
per_segment,segment_5,,ALTITUDE,2060,499.723,517.402,509.426,510.115,5.645,504.225,514.727,,km
per_segment,segment_5,,MAG_LAT,2060,-70.349,61.345,-4.568,-4.603,38.04,-37.506,28.356,,deg
per_segment,segment_5,,MAG_LON,2060,-122.301,-115.876,-118.684,-118.538,1.992,-120.42,-116.836,,deg
per_segment,segment_6,,Bx,2064,-2348.867,165.23,-924.229,-682.847,859.405,-1760.858,-171.058,1589.8,nT
per_segment,segment_6,,By,2064,-24069.761,42603.215,2016.596,-7814.819,22118.069,-17477.329,23370.171,40847.501,nT
per_segment,segment_6,,Bz,2064,9141.502,24370.351,16090.85,14968.776,5258.185,11087.071,21376.752,10289.681,nT
per_segment,segment_6,,B_abs,2064,20162.569,43574.951,26956.748,23438.234,7400.413,21076.127,32100.932,11024.806,nT
per_segment,segment_6,,GEO_LAT,2064,-64.168,64.347,0.032,-0.001,37.267,-32.318,32.367,,deg
per_segment,segment_6,,GEO_LON,2064,-44.606,-4.04,-24.27,-24.258,9.562,-31.235,-17.291,,deg
per_segment,segment_6,,ALTITUDE,2064,501.167,518.932,512.285,513.701,5.762,507.232,517.772,,km
per_segment,segment_6,,MAG_LAT,2064,-59.763,71.903,6.029,6.005,38.031,-26.897,38.947,,deg
per_segment,segment_6,,MAG_LON,2064,42.423,54.152,49.354,49.666,3.098,46.987,52.003,,deg
